radiator_area_m2,peak_radiator_temp_c,peak_avionics_temp_c,peak_structure_temp_c,avionics_margin_c,status
0.005,45.99097097049702,46.73502203391382,41.21191911843357,13.264977966086178,acceptable preliminary pass
0.01,43.01891131278097,43.93283266706584,38.83335285430468,16.06716733293416,robust pass
0.015,40.33134484086844,41.40061725653209,36.688915722837635,18.599382743467913,robust pass
0.02,37.95421141018272,39.16752505919152,34.81632757230199,20.83247494080848,robust pass
0.025,35.59927735797277,36.94422489915871,32.92114939299307,23.055775100841288,robust pass
0.03,33.4067205742827,34.873765173448646,31.155049386586313,25.126234826551354,robust pass
0.035,31.373993967515503,32.95508896895495,29.520845567819663,27.044911031045046,robust pass
0.04,29.461897618905596,31.14960630915698,27.981248149224655,28.85039369084302,robust pass
