material_id,alpha_s,epsilon_ir,peak_radiator_temp_c,peak_avionics_temp_c,avionics_margin_c,status
AZ-93 Silicate,0.16,0.9,37.13728473032137,38.39622469442969,21.60377530557031,robust pass
0.005″ FEP/Ag/Inconel,0.07,0.79,37.95421141018272,39.16752505919152,20.83247494080848,robust pass
VDA/200HN/PSA,0.08,0.03,49.34637854057502,49.89874808836902,10.101251911630982,marginal pass
Z306 Polyurethane,0.92,0.89,41.98443985356977,42.961080981282805,17.038919018717195,robust pass
solar_cell_assembly,0.73,0.82,41.71022018174881,42.70248057380695,17.29751942619305,robust pass
