battery_structure_conductance_w_k,hot_battery_peak_c,cold_battery_min_c,heater_duty_cycle,heater_energy_wh,hot_case_status,cold_case_status
0.01,60.13971756310832,4.999183193472447,0.10992419021364576,1.7722222222222221,FAIL,FAIL
0.02,53.26308415338406,4.9995913540199695,0.11647139903514818,1.8777777777777778,FAIL,FAIL
0.05,43.80809631291487,4.998057296839136,0.27705031013094417,4.466666666666667,marginal pass,FAIL
0.1,39.10825746785696,4.999261949038953,0.39352170916609236,6.344444444444444,robust pass,FAIL
0.2,36.79099434981208,4.990148656700967,0.7515506547208821,12.116666666666667,robust pass,FAIL
0.5,35.39109946808088,-0.22821670478919032,1.0,16.122222222222224,robust pass,FAIL
1.0,35.00897467159183,-10.149677511271307,1.0,16.122222222222224,robust pass,FAIL
